:START_ID,:END_ID,:TYPE
bundle:jaffle_shop,table:duckdb-jaffle-shop/main.customers,CONTAINS
bundle:jaffle_shop,table:duckdb-jaffle-shop/main.orders,CONTAINS
bundle:jaffle_shop,table:duckdb-jaffle-shop/main.stg_payments,CONTAINS
bundle:jaffle_shop,table:duckdb-jaffle-shop/main.orders,REQUIRES_TIME_FILTER
bundle:jaffle_shop,join:jaffle_shop/main.orders:main.customers,ALLOWS_JOIN
bundle:jaffle_shop,join:jaffle_shop/main.stg_payments:main.orders,ALLOWS_JOIN
join:jaffle_shop/main.orders:main.customers,table:duckdb-jaffle-shop/main.orders,JOIN_LEFT
join:jaffle_shop/main.orders:main.customers,table:duckdb-jaffle-shop/main.customers,JOIN_RIGHT
join:jaffle_shop/main.stg_payments:main.orders,table:duckdb-jaffle-shop/main.stg_payments,JOIN_LEFT
join:jaffle_shop/main.stg_payments:main.orders,table:duckdb-jaffle-shop/main.orders,JOIN_RIGHT
model:jaffle_shop/customers,table:duckdb-jaffle-shop/main.customers,WRAPS
model:jaffle_shop/customers,dim:jaffle_shop/customers.customer_id,DEFINES
model:jaffle_shop/customers,dim:jaffle_shop/customers.first_name,DEFINES
model:jaffle_shop/customers,dim:jaffle_shop/customers.last_name,DEFINES
model:jaffle_shop/customers,dim:jaffle_shop/customers.first_order,DEFINES
model:jaffle_shop/customers,dim:jaffle_shop/customers.most_recent_order,DEFINES
model:jaffle_shop/customers,dim:jaffle_shop/customers.number_of_orders,DEFINES
model:jaffle_shop/customers,dim:jaffle_shop/customers.customer_lifetime_value,DEFINES
model:jaffle_shop/customers,measure:jaffle_shop/customers.customer_count,DEFINES
model:jaffle_shop/customers,measure:jaffle_shop/customers.customer_count_distinct,DEFINES
model:jaffle_shop/customers,measure:jaffle_shop/customers.total_lifetime_value,DEFINES
model:jaffle_shop/customers,measure:jaffle_shop/customers.avg_lifetime_value,DEFINES
model:jaffle_shop/customers,measure:jaffle_shop/customers.avg_orders_per_customer,DEFINES
model:jaffle_shop/customers,measure:jaffle_shop/customers.max_lifetime_value,DEFINES
dim:jaffle_shop/customers.customer_id,column:duckdb-jaffle-shop/main.customers/customer_id,READS
dim:jaffle_shop/customers.first_name,column:duckdb-jaffle-shop/main.customers/first_name,READS
dim:jaffle_shop/customers.last_name,column:duckdb-jaffle-shop/main.customers/last_name,READS
dim:jaffle_shop/customers.first_order,column:duckdb-jaffle-shop/main.customers/first_order,READS
dim:jaffle_shop/customers.most_recent_order,column:duckdb-jaffle-shop/main.customers/most_recent_order,READS
dim:jaffle_shop/customers.number_of_orders,column:duckdb-jaffle-shop/main.customers/number_of_orders,READS
