id:ID,:LABEL,display_name
bundle:jaffle_shop,Bundle,jaffle_shop
table:duckdb-jaffle-shop/main.customers,Table,main.customers
table:duckdb-jaffle-shop/main.orders,Table,main.orders
table:duckdb-jaffle-shop/main.stg_payments,Table,main.stg_payments
join:jaffle_shop/main.orders:main.customers,JoinEdge,main.orders:main.customers
join:jaffle_shop/main.stg_payments:main.orders,JoinEdge,main.stg_payments:main.orders
model:jaffle_shop/customers,Model,customers
dim:jaffle_shop/customers.customer_id,Dimension,customers.customer_id
column:duckdb-jaffle-shop/main.customers/customer_id,Column,customer_id
dim:jaffle_shop/customers.first_name,Dimension,customers.first_name
column:duckdb-jaffle-shop/main.customers/first_name,Column,first_name
dim:jaffle_shop/customers.last_name,Dimension,customers.last_name
column:duckdb-jaffle-shop/main.customers/last_name,Column,last_name
dim:jaffle_shop/customers.first_order,Dimension,customers.first_order
column:duckdb-jaffle-shop/main.customers/first_order,Column,first_order
dim:jaffle_shop/customers.most_recent_order,Dimension,customers.most_recent_order
column:duckdb-jaffle-shop/main.customers/most_recent_order,Column,most_recent_order
dim:jaffle_shop/customers.number_of_orders,Dimension,customers.number_of_orders
column:duckdb-jaffle-shop/main.customers/number_of_orders,Column,number_of_orders
dim:jaffle_shop/customers.customer_lifetime_value,Dimension,customers.customer_lifetime_value
column:duckdb-jaffle-shop/main.customers/customer_lifetime_value,Column,customer_lifetime_value
measure:jaffle_shop/customers.customer_count,Measure,customers.customer_count
column:duckdb-jaffle-shop/main.customers/customer_count,Column,customer_count
measure:jaffle_shop/customers.customer_count_distinct,Measure,customers.customer_count_distinct
measure:jaffle_shop/customers.total_lifetime_value,Measure,customers.total_lifetime_value
measure:jaffle_shop/customers.avg_lifetime_value,Measure,customers.avg_lifetime_value
measure:jaffle_shop/customers.avg_orders_per_customer,Measure,customers.avg_orders_per_customer
measure:jaffle_shop/customers.max_lifetime_value,Measure,customers.max_lifetime_value
model:jaffle_shop/orders,Model,orders
dim:jaffle_shop/orders.order_id,Dimension,orders.order_id
column:duckdb-jaffle-shop/main.orders/order_id,Column,order_id
dim:jaffle_shop/orders.customer_id,Dimension,orders.customer_id
column:duckdb-jaffle-shop/main.orders/customer_id,Column,customer_id
dim:jaffle_shop/orders.order_date,Dimension,orders.order_date
column:duckdb-jaffle-shop/main.orders/order_date,Column,order_date
dim:jaffle_shop/orders.status,Dimension,orders.status
column:duckdb-jaffle-shop/main.orders/status,Column,status
measure:jaffle_shop/orders.order_count,Measure,orders.order_count
column:duckdb-jaffle-shop/main.orders/order_count,Column,order_count
measure:jaffle_shop/orders.total_revenue,Measure,orders.total_revenue
column:duckdb-jaffle-shop/main.orders/amount,Column,amount
measure:jaffle_shop/orders.avg_order_value,Measure,orders.avg_order_value
measure:jaffle_shop/orders.min_order_value,Measure,orders.min_order_value
measure:jaffle_shop/orders.max_order_value,Measure,orders.max_order_value
measure:jaffle_shop/orders.credit_card_revenue,Measure,orders.credit_card_revenue
column:duckdb-jaffle-shop/main.orders/credit_card_amount,Column,credit_card_amount
measure:jaffle_shop/orders.coupon_revenue,Measure,orders.coupon_revenue
column:duckdb-jaffle-shop/main.orders/coupon_amount,Column,coupon_amount
measure:jaffle_shop/orders.bank_transfer_revenue,Measure,orders.bank_transfer_revenue
column:duckdb-jaffle-shop/main.orders/bank_transfer_amount,Column,bank_transfer_amount
measure:jaffle_shop/orders.gift_card_revenue,Measure,orders.gift_card_revenue
column:duckdb-jaffle-shop/main.orders/gift_card_amount,Column,gift_card_amount
model:jaffle_shop/payments,Model,payments
dim:jaffle_shop/payments.payment_id,Dimension,payments.payment_id
column:duckdb-jaffle-shop/main.stg_payments/payment_id,Column,payment_id
dim:jaffle_shop/payments.order_id,Dimension,payments.order_id
column:duckdb-jaffle-shop/main.stg_payments/order_id,Column,order_id
dim:jaffle_shop/payments.payment_method,Dimension,payments.payment_method
column:duckdb-jaffle-shop/main.stg_payments/payment_method,Column,payment_method
measure:jaffle_shop/payments.payment_count,Measure,payments.payment_count
column:duckdb-jaffle-shop/main.stg_payments/payment_count,Column,payment_count
measure:jaffle_shop/payments.total_payment_amount,Measure,payments.total_payment_amount
column:duckdb-jaffle-shop/main.stg_payments/amount,Column,amount
measure:jaffle_shop/payments.avg_payment_amount,Measure,payments.avg_payment_amount
rule:exclude_returned_orders_from_revenue,Rule,exclude_returned_orders_from_revenue
rule:order_amount_equals_payment_sum,Rule,order_amount_equals_payment_sum
rule:net_revenue_definition,Rule,net_revenue_definition
rule:customer_type_classification,Rule,customer_type_classification
rule:lifetime_value_consistency,Rule,lifetime_value_consistency
rule:pii_customer_names,Rule,pii_customer_names
rule:orders_require_time_filter,Rule,orders_require_time_filter
rule:payment_method_breakdown,Rule,payment_method_breakdown
rule:split_payments,Rule,split_payments
rule:order_status_definitions,Rule,order_status_definitions
class:PII,Classification,PII
class:Financial,Classification,Financial
policy:root,Policy,root
